source,line_code,station_name,station,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,win_count,win_min_dist,win_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist,entry
A21,PP04,บางพลู,PP04 บางพลู,3,4.0,9.666666666666666,0,0.0,0.0,0,0.0,0.0,2,100.0,102.0,0,0.0,0.0,0,0.0,0.0,3,136.0,142.0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,2.0,6.5,0,0.0,0.0,2194.0
A21,PP05,บางรักใหญ่,PP05 บางรักใหญ่,4,6.0,6.75,0,0.0,0.0,0,0.0,0.0,3,66.0,166.33333333333334,0,0.0,0.0,0,0.0,0.0,2,20.0,21.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,7.0,36.0,0,0.0,0.0,1065.0
A21,PP06,บางรักน้อยท่าอิฐ,PP06 บางรักน้อยท่าอิฐ,2,9.0,18.0,1,60.0,60.0,0,0.0,0.0,2,65.0,74.0,0,0.0,0.0,0,0.0,0.0,2,10.0,38.5,1,16.0,16.0,0,0,0,0,0.0,0.0,2,10.0,11.0,0,0.0,0.0,2440.0
A21,PP07,ไทรม้า,PP07 ไทรม้า,3,1.0,6.0,0,0.0,0.0,0,0.0,0.0,2,11.0,33.0,0,0.0,0.0,0,0.0,0.0,2,12.0,33.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,6.0,6.5,0,0.0,0.0,2104.0
A21,PP08,สะพานพระนั่งเกล้า,PP08 สะพานพระนั่งเกล้า,3,3.0,7.666666666666667,0,0.0,0.0,0,0.0,0.0,3,55.0,118.0,0,0.0,0.0,0,0.0,0.0,2,12.0,16.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,72.0,72.0,1,90.0,90.0,2817.0
A21,PP09,แยกนนทบุรี 1,PP09 แยกนนทบุรี 1,2,10.0,11.5,1,51.0,51.0,0,0.0,0.0,3,55.0,191.0,0,0.0,0.0,0,0.0,0.0,3,26.0,97.66666666666669,1,32.0,32.0,0,0,0,0,0.0,0.0,2,11.0,11.5,0,0.0,0.0,3261.0
A21,PP10,บางกระสอ,PP10 บางกระสอ,2,3.0,6.5,0,0.0,0.0,0,0.0,0.0,3,3.0,140.33333333333334,0,0.0,0.0,0,0.0,0.0,2,27.0,71.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,2.0,9.0,0,0.0,0.0,2654.0
A21,PP12,กระทรวงสาธารณะสุข,PP12 กระทรวงสาธารณะสุข,2,20.0,20.0,0,0.0,0.0,0,0.0,0.0,4,38.0,66.5,0,0.0,0.0,0,0.0,0.0,2,13.0,29.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,,,0,0.0,0.0,4496.0
A21,PP14,วงศ์สว่าง,PP14 วงศ์สว่าง,3,5.0,6.0,0,0.0,0.0,0,0.0,0.0,4,56.0,141.75,0,0.0,0.0,0,0.0,0.0,3,6.0,62.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3095.0
AEC,A04,หัวหมาก,ARL หัวหมาก และ MRT หัวหมาก,3,5.0,33.333333333333336,0,0.0,0.0,0,0.0,0.0,2,91.0,93.0,0,0.0,0.0,0,0.0,0.0,4,42.0,72.75,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7467.578947368421
AEC,YL11,หัวหมาก,ARL หัวหมาก และ MRT หัวหมาก,3,5.0,33.333333333333336,0,0.0,0.0,0,0.0,0.0,2,91.0,93.0,0,0.0,0.0,0,0.0,0.0,4,42.0,72.75,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3225.0
AEC,S07,กรุงธนบุรี,BTS กรุงธนบุรี และ MRT กรุงธนบุรี,3,6.0,8.0,0,0.0,0.0,0,0.0,0.0,3,42.0,95.33333333333331,0,0.0,0.0,0,0.0,0.0,2,5.0,8.5,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,11356.0
AEC,G1,กรุงธนบุรี,BTS กรุงธนบุรี และ MRT กรุงธนบุรี,3,6.0,8.0,0,0.0,0.0,0,0.0,0.0,3,42.0,95.33333333333331,0,0.0,0.0,0,0.0,0.0,2,5.0,8.5,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3378.4545454545455
AEC,S12,บางหว้า,BTS บางหว้า และ MRT บางหว้า,5,10.0,41.0,0,0.0,0.0,0,0.0,0.0,4,10.0,107.0,0,0.0,0.0,0,0.0,0.0,3,12.0,75.66666666666667,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,16969.0
AEC,BL34,บางหว้า,BTS บางหว้า และ MRT บางหว้า,5,10.0,41.0,0,0.0,0.0,0,0.0,0.0,4,10.0,107.0,0,0.0,0.0,0,0.0,0.0,3,12.0,75.66666666666667,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,11869.0
AEC,N02,พญาไท,BTS พญาไท และ APL พญาไท,2,43.0,48.5,0,0.0,0.0,0,0.0,0.0,3,43.0,134.33333333333334,0,0.0,0.0,0,0.0,0.0,5,11.0,23.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,22095.0
