station,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,win_count,win_min_dist,win_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist
MRT ศรีกรีฑา,3,190.0,216.66666666666666,3,5.0,54.666666666666664,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,3.0,5.5,0,0.0,0.0,0,0,0
MRT ศรีด่าน,4,40.0,92.0,2,5.0,52.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,5.0,5.0,0,0.0,0.0,0,0,0
MRT ศรีนครินทร์ 38,2,5.0,10.0,2,4.0,7.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,3.0,7.333333333333333,0,0.0,0.0,0,0,0
MRT ศรีนุช,2,0.0,115.0,1,140.0,140.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0,0
MRT ศรีลาซาล,2,94.0,102.0,3,5.0,32.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,5.0,5.5,0,0.0,0.0,0,0,0
MRT ศรีอุดม,2,3.0,45.5,3,3.0,34.666666666666664,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,3.0,4.0,0,0.0,0.0,0,0,0
MRT ศรีเทพา,2,130.0,135.0,3,5.0,19.333333333333332,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,5.0,7.5,0,0.0,0.0,0,0,0
MRT ศรีเอี่ยม,3,170.0,293.3333333333333,3,5.0,183.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,3.0,176.5,0,0.0,0.0,0,0,0
MRT ศรีแบริ่ง,3,130.0,173.33333333333334,2,3.0,6.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,3.0,4.0,0,0.0,0.0,0,0,0
MRT ศูนย์ประชุมสิริกิติ์,3,13.392944797151728,25.11361107461177,3,10.852562127582654,13.04174439421431,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,203.97696585098245,203.97696585098245,2,72.27020875738016,73.82791481076032,2,67.79643301854486,93.76824596789824,1,67.79643301854486,67.79643301854486,1,179.96229725000808,179.96229725000808,1,190.02034262089938,190.02034262089938,0,0,0
MRT ศูนย์วัฒนธรรม,4,9.52622617,40.18589134,4,11.03579454,49.615027297500006,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,18.83239716,65.43870790333334,2,40.61977325,58.34595989,1,76.07214653,76.07214653,1,90.23603817,90.23603817,0,0.0,0.0,0,0,0
MRT สวนหลวง ร.9,3,69.0,120.66666666666667,3,67.0,139.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,140.0,195.0,0,0.0,0.0,0,0,0
MRT สามยอด,1,17.0,17.0,1,45.0,45.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
MRT สามย่าน,2,70.0,89.0,2,20.0,25.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,30.0,95.0,0,0.0,0.0,0,0,0
MRT สิรินธร,4,101.0995402,156.83001835000002,5,20.97618986,108.42535418,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,13.45772728,13.45772728,0,0.0,0.0,0,0,0
MRT สุทธิสาร,4,48.162708,135.59925429999998,3,82.56118476,99.73661364333333,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,296.3358147,321.2751604,0,0.0,0.0,0,0.0,0.0,2,9.792151459,27.475663504499998,0,0.0,0.0,0,0,0
