station,bus_stop_count,bus_stop_min_dist,win_count,win_min_dist,songtaew_count,songtaew_min_dist,minibus_count,minibus_min_dist,taxi_count,taxi_min_dist,tuktuk_count,tuktuk_min_dist,kiss_ride_count,kiss_ride_min_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_moto_count,park_ride_moto_min_dist,bike_parking_count,bike_parking_min_dist,bike_share_count,bike_share_min_dist,scooter_share_count,scooter_share_min_dist
MRT ศรีด่าน,4,40.0,4,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0,0,0.0,0,0
MRT ศรีนครินทร์ 38,4,5.0,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,3.0,0,0.0,0,0
MRT ศรีนุช,4,0.0,4,140.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0
MRT ศรีลาซาล,4,94.0,4,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.0,0,0.0,0,0
MRT ศรีอุดม,4,3.0,4,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3.0,0,0.0,0,0
MRT ศรีเทพา,4,130.0,4,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.0,0,0.0,0,0
MRT ศรีเอี่ยม,4,170.0,4,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,0,0.0,0,0
MRT ศรีแบริ่ง,4,130.0,2,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,3.0,0,0.0,0,0
MRT ศูนย์ประชุมสิริกิติ์,4,13.392944797151728,4,10.852562127582654,0,0.0,0,0.0,0,0.0,2,203.97696585098245,4,72.27020875738016,4,67.79643301854486,2,67.79643301854486,2,179.96229725000808,2,190.02034262089936,0,0
MRT ศูนย์วัฒนธรรม,4,9.52622617,4,11.03579454,0,0.0,0,0.0,0,0.0,0,0.0,4,18.83239716,2,40.61977325,2,76.07214653,2,90.23603817,0,0.0,0,0
MRT สวนหลวง ร.9,4,69.0,4,67.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,140.0,0,0.0,0,0
